"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000203859",-2.62364506091717,0.288603758396128,-9.64018429315411,5.05732394151225e-16,1.15596728383962e-13,25.9968867883481
"ENSG00000121207",-1.62770633064732,0.314957800520738,-9.63324041709306,5.2395812011532e-16,1.18527969378252e-13,25.9621476494297
"ENSG00000113722",-7.21683691785108,3.88631014498359,-9.62639304215261,5.42573272842102e-16,1.21486584958921e-13,25.9278920339818
"ENSG00000189377",8.10639799942749,6.34364962661439,9.6118184264869,5.84425640280196e-16,1.29535877016852e-13,25.8549816080546
"ENSG00000138639",3.23967041254427,3.1988263531647,9.60102264771368,6.17493168721014e-16,1.35496526012452e-13,25.800977364414
"ENSG00000138744",-2.55425963218331,3.80121491762933,-9.58118003338218,6.83224516131268e-16,1.48435599578895e-13,25.7017231016079
"ENSG00000099617",-4.58950894270919,1.71540597285345,-9.57660026227382,6.99362880056781e-16,1.50452153696921e-13,25.6788157707468
"ENSG00000180251",6.11245442921745,4.77112087390572,9.5719974943802,7.15966106898626e-16,1.52528585278413e-13,25.6557938151622
"ENSG00000108576",-3.38741095843146,0.54796794766524,-9.49622631372604,1.05344977878049e-15,2.22267773997888e-13,25.2768672365684
"ENSG00000102445",-3.76503990146517,1.02131769251893,-9.46818604782466,1.21525723155723e-15,2.53965613638669e-13,25.1366729335844
"ENSG00000225335",-1.66506446439593,1.62939530491138,-9.45062120956723,1.32903341847002e-15,2.75122455674411e-13,25.0488632385064
"ENSG00000160870",-1.51159595861,0.427366013508329,-9.42987940501115,1.47716612490463e-15,3.0012459517391e-13,24.9451818743714
"ENSG00000237009",-1.38464764565965,0.31437603891219,-9.42252014392184,1.53359728539968e-15,3.05924774850229e-13,24.9083982207739
"ENSG00000138792",-4.49264774342504,0.769398115790536,-9.39645351514367,1.75136784178384e-15,3.46218599569935e-13,24.7781223261828
"ENSG00000139144",3.66199810648442,3.35927666099604,9.39230290527426,1.78878783649589e-15,3.50458674073476e-13,24.7573802306766
"ENSG00000112782",-4.93105828080192,1.95133224236349,-9.38611311301858,1.84608090159715e-15,3.58482771891561e-13,24.7264485665298
"ENSG00000117115",-5.93978845894417,1.99686616146195,-9.34134912863461,2.31875439274331e-15,4.424385012171e-13,24.5027892942832
"ENSG00000156006",-5.03469570301871,2.14954056329831,-9.33157324546071,2.4370949368208e-15,4.61010122402232e-13,24.4539536073657
"ENSG00000157703",-1.64266880698887,0.342303331683569,-9.2802798802273,3.16429449280255e-15,5.93453966286892e-13,24.1977704510407
"ENSG00000259342",-2.0276858598016,0.612854049920289,-9.27855696894972,3.19216557478652e-15,5.93607535657124e-13,24.1891670641002
"ENSG00000259867",-1.63023635119556,0.271203800235034,-9.26423416262504,3.43355795526566e-15,6.33130774894071e-13,24.1176501773379
"ENSG00000198788",-5.62391281921645,1.86184590809336,-9.25687940085805,3.56451163869023e-15,6.51800657398163e-13,24.0809292690189
"ENSG00000138079",-5.78484321376213,2.87124470047539,-9.23375485621083,4.00963498381442e-15,7.27135706197023e-13,23.965486543519
"ENSG00000036672",-2.71297780571206,1.43667859738726,-9.20877253487989,4.55308229013323e-15,8.12262477173931e-13,23.8407934135688
"ENSG00000015413",-6.30518487315909,1.64500846805681,-9.17909601725039,5.29498379150001e-15,9.36998623684554e-13,23.6927041208968
"ENSG00000137634",-1.15958434348927,0.138411342266406,-9.17204279117355,5.48837557376543e-15,9.63451401721079e-13,23.6575132630241
"ENSG00000092421",-4.22136017493379,1.54523102528191,-9.12793126358958,6.86842112146503e-15,1.19614098943101e-12,23.4374768445488
"ENSG00000250742",5.21390929353427,4.29161020976372,9.11559282525621,7.3130372571414e-15,1.26354312231066e-12,23.3759464970335
"ENSG00000144410",-3.83751341252445,0.444309154974565,-9.11175855420501,7.45697196347814e-15,1.27834637339532e-12,23.3568269064096
"ENSG00000215182",7.92207665215324,7.96095132754509,9.07371404185358,9.04764652803403e-15,1.53901168809807e-12,23.1671566926699
"ENSG00000224417",-1.0470103922767,0.127862066868954,-8.99523752654594,1.34789428601336e-14,2.27514187061471e-12,22.7761479845016
"ENSG00000178462",-4.39366043417518,1.63823542331619,-8.96323934019022,1.58564074477885e-14,2.65600876814369e-12,22.616813793646
"ENSG00000107611",-2.66321848519085,0.220497678367228,-8.95632539620851,1.64227307818169e-14,2.73003016322279e-12,22.5823936848526
"ENSG00000143167",-7.34748410424884,3.75697730065889,-8.9541923867594,1.660148697626e-14,2.7389957046622e-12,22.5717753557596
"ENSG00000079112",-8.1989450125674,4.77253176644202,-8.94118344878584,1.77345080433463e-14,2.90409186563543e-12,22.5070213789635
"ENSG00000272801",-1.34108764484968,0.246549933039051,-8.93801979776649,1.80215161374679e-14,2.92923058225525e-12,22.4912753360195
"ENSG00000120306",2.13629064576268,9.71403418702622,8.91853219140101,1.98945203354126e-14,3.20989308617616e-12,22.3942953589428
"ENSG00000070019",-5.39080797079097,2.41734189769361,-8.91513875603408,2.02399835929412e-14,3.2417953283205e-12,22.3774102966543
"ENSG00000082146",-2.62941350029883,3.59413482631171,-8.91116146929288,2.06525109031929e-14,3.28389888948378e-12,22.3576210027323
"ENSG00000184730",-2.31282806712481,0.805689282563278,-8.90574627149112,2.1227698505043e-14,3.35107473594358e-12,22.3306788366465
"ENSG00000088386",-4.81398336706133,2.80709153673016,-8.90281924408665,2.15452254862702e-14,3.37690630603733e-12,22.3161167881092
"ENSG00000174469",-1.89201740767254,0.536988019515575,-8.89889254742033,2.19786528469288e-14,3.42040836468197e-12,22.2965821905269
"ENSG00000160191",-3.17135755027175,2.3248870865573,-8.89021689292174,2.29673593114141e-14,3.5491039814814e-12,22.253425809772
"ENSG00000137251",-4.196599537299,1.33897885288882,-8.88436898805431,2.36587198508729e-14,3.63037265515878e-12,22.2243385233882
"ENSG00000198944",-2.62317107168388,3.07362387448305,-8.85651202710271,2.72480064399149e-14,4.15210420354897e-12,22.0858088958006
"ENSG00000187098",3.06067126607652,3.03814045891335,8.85422108449459,2.75663126690702e-14,4.17163861308557e-12,22.0744185226346
"ENSG00000106384",-4.00145297612121,1.46764640190118,-8.84920552659661,2.82761898233676e-14,4.24975639242572e-12,22.0494827931012
"ENSG00000148488",-1.91851421428495,0.434165510470923,-8.84735845061477,2.85421855598315e-14,4.2605522295196e-12,22.0403001462152
"ENSG00000250328",-2.53588339248499,0.671990307095434,-8.82742611225679,3.15763818274471e-14,4.68162531378156e-12,21.9412219203917
"ENSG00000173212",-1.30503374807094,0.376646322333141,-8.81750537054971,3.32044181319266e-14,4.88996340314675e-12,21.8919185560868
"ENSG00000198729",-2.49724738790087,1.01657207675767,-8.79577723946048,3.70685332830592e-14,5.42263217220111e-12,21.7839592099274
"ENSG00000106701",-1.69632939622371,1.63909141600959,-8.78656994147621,3.88383397487364e-14,5.64390522587101e-12,21.7382212989222
"ENSG00000166143",-5.41316942495612,3.58918333956073,-8.77997049931024,4.01584883348843e-14,5.79735335218661e-12,21.7054417612214
"ENSG00000189120",-2.32307244258881,0.999181222647222,-8.77171697821911,4.1872677790249e-14,6.00530829249303e-12,21.6644507264767
"ENSG00000137757",-3.43486264892076,1.21002333758023,-8.75598967076331,4.53437015244608e-14,6.45597768344072e-12,21.5863546937301
"ENSG00000236345",-1.08528814907791,0.315367535141635,-8.75486148017833,4.560345171277e-14,6.45597768344072e-12,21.5807531996353
"ENSG00000137819",-3.73048102750913,1.22227072597284,-8.74374253458919,4.82441673719343e-14,6.7860369528356e-12,21.5255523189319
"ENSG00000168306",-3.2988211378669,2.86200543676986,-8.74195666524354,4.8682294727344e-14,6.80404836434464e-12,21.5166870730729
"ENSG00000102878",3.03310909662385,3.24940691875633,8.72301763716896,5.35799709135655e-14,7.44117279592638e-12,21.422686228981
"ENSG00000115648",3.46536448432,6.41665457691143,8.71692353737764,5.52581176398607e-14,7.62596776963185e-12,21.3924448265595
"ENSG00000013583",-2.20171073095238,5.53774464865623,-8.71144477714509,5.68115095636071e-14,7.79134346471394e-12,21.3652593776542
"ENSG00000196507",2.32716479532718,3.70382986678849,8.70474749015315,5.87696586896131e-14,8.00982994177751e-12,21.3320307242449
